Security Requirement Family,Security Requirement Identifier,Security Requirement Type,Security Requirement Description,Recommended Implementation Guidance,User Questions,Answer Type,Answer Content,Video,Documentation Required?,Additional Text,Notes,,
Access Control,3.1.1,Basic,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).","[Company Name] maintains an access control  list of authorized users,  defining their roles and responsibilities as well as syncing with system, application and data layers. All account requests must be authorized before access is granted.","Does the organization maintain an access control  list of authorized users,  defining their roles and responsibilities as well as syncing with system, application and data layers? Additionally, are all account requests authorized before access is granted?",boolean,yes/no,x6JTkwkZ2Xc,Y,Provide a copy of your Accesss Control List,,,
Access Control,3.1.2,Derived,Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,"Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate. ","Does the organization utilize an up-to-date access control list, and implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate? ",boolean,yes/no,z7ycCZkksgw,N,,,,
Access Control,3.1.3,Derived,Control the flow of CUI in accordance with approved authorizations.,"[Company Name] provides security architecture and design solutions to control the flow of system data. These solutions include firewalls, proxies, encryption, and other security-related technologies.","Does the organization provide security architecture and design solutions to control the flow of system data? Do these solutions include firewalls, proxies, encryption, and other security-related technologies?",boolean,yes/no,1_6GeIPXn_s,Y,Provide a copy of your Data Flow Diagrams,,,
Access Control,3.1.4,Derived,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,"If an authorized user is required to conduct system administration as well as access data, [Company Name] creates separate accounts with the approriate access levels to separate each function. ",Is an authorized user required to conduct system administration as well as access data and create separate accounts with the appropriate access levels to separate each function?,boolean,yes/no,Agb8uAIV79A,N,,,,
Access Control,3.1.5,Derived,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",[Company Name] only grants enough privileges to a system user to allow them to sufficiently fulfill their job duties. ,Do you ensure that you only grant enough privileges to a system user to allow them to sufficiently fulfill their job duties?,boolean,yes/no,wsv4-nerpws,N,,,,
Access Control,3.1.6,Derived,Use non-privileged accounts or roles when accessing nonsecurity functions.,[Company Name] requires users with multiple accounts to logon with their least privileged account. ,Do you require users with multiple accounts to log on with their least privileged account?,boolean,yes/no,fuyW_DNZ-3s,N,,,,
Access Control,3.1.7,Derived,Prevent non-privileged users from executing privileged functions and audit the execution of such functions.,"Utilizing an up-to-date access control list, [Company Name] implements and enforces Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate. Furthermore, [Company Name] audits the execution of all privileged functions. ","Do you utilize an up-to-date access control list and implement and enforce Role-Based Access Control (RBAC) for authorized users across system, application, and data layers, logging access as appropriate? Furthermore, do you audit the execution of all privileged functions? ",boolean,yes/no,rK4hvYqYyug,N,,,,
Access Control,3.1.8,Derived,Limit unsuccessful logon attempts.,[Company Name] configures the system to lockout for a predetermined time after a predetermined number of invalid logon attempts.,Does the organization configure the system to lockout for a predetermined time after a predetermined number of invalid log on attempts?,boolean,yes/no,Vlt7uoYt09Q,Y,Provide a copy of your policy on system access and lockout,,,
Access Control,3.1.9,Derived,Provide privacy and security notices consistent with applicable CUI rules.,"[Company Name] displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, executive orders, directives, policies, regulations, standards, and guidance. ","Does the organization display an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, executive orders, directives, policies, regulations, standards, and guidance?",boolean,yes/no,RKHI_BeqWbI,Y,Provide a copy of your login banner text,,,
Access Control,3.1.10,Basic,Use session lock with pattern-hiding displays to prevent access/viewing of data after period of inactivity.,"[Company Name] configures the system to lockout after a predetermined time of inactivity. Moreover, [Company Name] allows authorized users to enable screen lock for temporary absence.","Does the organization configure the system to lockout after a predetermined time of inactivity? Moreover, do you allow authorized users to enable screen lock for temporary absence?",boolean,yes/no,877SmfNzKDI,Y,Provide a copy of your policy on system access and lockout,,,
Access Control,3.1.11,Derived,Terminate (automatically) a user session after a defined condition.,[Company Name] configures the  system to end a user session after a predetermined time based on duration and/or inactivity.,Does the organization configure the system to end a user session after a predetermined time based on duration and/or inactivity?,boolean,yes/no,qtU0G8kvg4s,N,,,,
